timestamp,rank,id_hex,name,tag,power
2026-04-06T10:49:33.748447,1,0x3a,VIP,VIP,0
2026-04-06T10:49:33.748447,2,0x23,DarkNation,DKN,0
2026-04-06T10:49:33.748447,3,0x32,Darkness,DRK,0
2026-04-06T10:49:33.748447,4,0x51,SOS,xSOS,0
2026-04-06T10:49:33.748447,5,0x29,Seraphins,xSPH,0
2026-04-06T10:49:33.748447,6,0x54,Thebignga,xKkk,0
2026-04-06T10:49:33.748447,7,0x42,USAAAAA,???,0
2026-04-06T10:49:33.748447,8,0xcb,AZTECAS,xAZT,0
2026-04-06T10:49:33.748447,9,0x27,ENERGY,NRG,0
2026-04-06T10:49:33.748447,10,0x6a,SQUADRONOFSHADOW,SOS,0
2026-04-06T10:49:33.748447,11,0x50,,,0
2026-04-06T10:49:33.748447,12,0x58,KINGS,KGS,0
2026-04-06T10:49:33.748447,13,0x2a,UDCP,xYDG,0
2026-04-06T10:49:33.748447,14,0x64,ONEPIECE,ONE,0
2026-04-06T10:49:33.748447,15,0xc5,ONLYBRASILFANS,BRA,0
2026-04-06T10:49:33.748447,16,0x9e,,,0
2026-04-06T10:49:33.748447,17,0x22,TOP,xTOP,0
2026-04-06T10:49:33.748447,18,0x2c,,,0
2026-04-06T10:49:33.748447,19,0x5a,,,0
2026-04-06T10:49:33.748447,20,0xce,,,0
2026-04-06T10:49:33.748447,21,0xc2,,,0
2026-04-06T10:49:33.748447,22,0x7a,,,0
2026-04-06T10:49:33.748447,23,0xd9,FranceSansPitier,k,0
2026-04-06T10:49:33.748447,24,0x71,,,0
2026-04-06T10:49:33.748447,25,0x36,,,0
2026-04-06T10:49:33.748447,26,0xeb,,,0
2026-04-06T10:49:33.748447,27,0x4b,,,0
2026-04-06T10:49:33.748447,28,0x28,,,0
2026-04-06T10:49:33.748447,29,0xd3,,,0
2026-04-06T10:49:33.748447,30,0xf3,,,0
2026-04-06T10:49:33.748447,31,0x25,,,0
2026-04-06T10:49:33.748447,32,0xcd,,,0
2026-04-06T10:49:33.748447,33,0x21,ATLANTIS,ATL,0
2026-04-06T10:49:33.748447,34,0x55,TheSickeners,TZk,0
2026-04-06T10:49:33.748447,35,0x4f,,,0
2026-04-06T10:49:33.748447,36,0xcf,,,0
2026-04-06T10:49:33.748447,37,0xec,,,0
2026-04-06T10:49:33.748447,38,0xe8,Vip,Frz1,0
2026-04-06T10:49:33.748447,39,0xd2,,,0
2026-04-06T10:49:33.748447,40,0xb4,,,0
2026-04-06T10:49:33.748447,41,0xaa,Blessed,DZr,0
2026-04-06T10:49:33.748447,42,0x26,,,0
2026-04-06T10:49:33.748447,43,0xbd,,,0
2026-04-06T10:49:33.748447,44,0xb6,,,0
2026-04-06T10:49:33.748447,45,0x78,,,0
2026-04-06T10:49:33.748447,46,0x3d,,,0
2026-04-06T10:49:33.748447,47,0x3e,NkKKINGdeICGiTQEDpLEHussienLd,,0
2026-04-06T10:49:33.748447,48,0xdb,,,0
2026-04-06T10:49:33.748447,49,0x6d,,,0
2026-04-06T10:49:33.748447,50,0x5d,,,0
2026-04-06T10:49:33.748447,51,0xdf,,,0
2026-04-06T10:49:33.748447,52,0x80,,,0
2026-04-06T10:49:33.748447,53,0x90,,,0
2026-04-06T10:49:33.748447,54,0xd5,,,0
2026-04-06T10:49:33.748447,55,0x7d,,,0
2026-04-06T10:49:33.748447,56,0x5f,LFA,LFA,0
2026-04-06T10:49:33.748447,57,0xdc,,,0
2026-04-06T10:49:33.748447,58,0x94,,,0
2026-04-06T10:49:33.748447,59,0x35,Thunder,DtS,0
2026-04-06T10:49:33.748447,60,0xed,EconomaReinbo,ECR,0
2026-04-06T10:49:33.748447,61,0x3e,NkKKINGdeICGiTQEDpLEHussienLd,,0
2026-04-06T10:49:33.748447,62,0x59,,,0
2026-04-06T10:49:33.748447,63,0x69,,,0
2026-04-06T10:49:33.748447,64,0x56,AllForOne,mzE,0
2026-04-06T10:49:33.748447,65,0x76,,,0
2026-04-06T10:49:33.748447,66,0xf2,bFm,SDF,0
2026-04-06T10:49:33.748447,67,0x79,,,0
2026-04-06T10:49:33.748447,68,0xc3,,,0
2026-04-06T10:49:33.748447,69,0x4c,,,0
2026-04-06T10:49:33.748447,70,0x4a,,,0
2026-04-06T10:49:33.748447,71,0xca,,,0
2026-04-06T10:49:33.748447,72,0xc6,Njm,nJcm,0
2026-04-06T10:49:33.748447,73,0xb7,,,0
2026-04-06T10:49:33.748447,74,0xae,,,0
2026-04-06T10:49:33.748447,75,0x61,,,0
2026-04-06T10:49:33.748447,76,0x9b,,,0
2026-04-06T10:49:33.748447,77,0x40,,,0
2026-04-06T10:49:33.748447,78,0x6e,,,0
2026-04-06T10:49:33.748447,79,0x86,,,0
2026-04-06T10:49:33.748447,80,0xf4,imi,Q,0
2026-04-06T10:49:33.748447,81,0xfd,,,0
2026-04-06T11:07:25.254648,1,0x3a,VIP,VIP,0
2026-04-06T11:07:25.254648,2,0x23,DarkNation,DKN,0
2026-04-06T11:07:25.254648,3,0x32,Darkness,DRK,0
2026-04-06T11:07:25.254648,4,0x51,SOS,xSOS,0
2026-04-06T11:07:25.254648,5,0x29,Seraphins,xSPH,0
2026-04-06T11:07:25.254648,6,0x54,Thebignga,xKkk,0
2026-04-06T11:07:25.254648,7,0x42,USAAAAA,???,0
2026-04-06T11:07:25.254648,8,0xcb,AZTECAS,xAZT,0
2026-04-06T11:07:25.254648,9,0x6a,SQUADRONOFSHADOW,SOS,0
2026-04-06T11:07:25.254648,10,0x50,,,0
2026-04-06T11:07:25.254648,11,0x27,ENERGY,NRG,0
2026-04-06T11:07:25.254648,12,0x58,KINGS,KGS,0
2026-04-06T11:07:25.254648,13,0x2a,UDCP,xYDG,0
2026-04-06T11:07:25.254648,14,0x64,ONEPIECE,ONE,0
2026-04-06T11:07:25.254648,15,0xc5,ONLYBRASILFANS,BRA,0
2026-04-06T11:07:25.254648,16,0x9e,,,0
2026-04-06T11:07:25.254648,17,0x22,TOP,xTOP,0
2026-04-06T11:07:25.254648,18,0x2c,,,0
2026-04-06T11:07:25.254648,19,0x5a,,,0
2026-04-06T11:07:25.254648,20,0xce,,,0
2026-04-06T11:07:25.254648,21,0xd9,FranceSansPitier,k,0
2026-04-06T11:07:25.254648,22,0xc2,,,0
2026-04-06T11:07:25.254648,23,0x7a,,,0
2026-04-06T11:07:25.254648,24,0x36,,,0
2026-04-06T11:07:25.254648,25,0xeb,,,0
2026-04-06T11:07:25.254648,26,0x71,,,0
2026-04-06T11:07:25.254648,27,0x4b,,,0
2026-04-06T11:07:25.254648,28,0x28,,,0
2026-04-06T11:07:25.254648,29,0xd3,,,0
2026-04-06T11:07:25.254648,30,0xf3,,,0
2026-04-06T11:07:25.254648,31,0x25,,,0
2026-04-06T11:07:25.254648,32,0xcd,,,0
2026-04-06T11:07:25.254648,33,0x55,TheSickeners,TZk,0
2026-04-06T11:07:25.254648,34,0x21,ATLANTIS,ATL,0
2026-04-06T11:07:25.254648,35,0x4f,,,0
2026-04-06T11:07:25.254648,36,0xcf,,,0
2026-04-06T11:07:25.254648,37,0xbd,,,0
2026-04-06T11:07:25.254648,38,0x26,,,0
2026-04-06T11:07:25.254648,39,0xaa,Blessed,DZr,0
2026-04-06T11:07:25.254648,40,0xd2,,,0
2026-04-06T11:07:25.254648,41,0xb4,,,0
2026-04-06T11:07:25.254648,42,0xec,,,0
2026-04-06T11:07:25.254648,43,0xe8,Vip,Frz1,0
2026-04-06T11:07:25.254648,44,0xb6,,,0
2026-04-06T11:07:25.254648,45,0x78,,,0
2026-04-06T11:07:25.254648,46,0x3d,,,0
2026-04-06T11:07:25.254648,47,0x3e,NkKKINGdeICGiTQEDpLEHussienLd,,0
2026-04-06T11:07:25.254648,48,0x6d,,,0
2026-04-06T11:07:25.254648,49,0xdb,,,0
2026-04-06T11:07:25.254648,50,0x5d,,,0
2026-04-06T11:07:25.254648,51,0xdf,,,0
2026-04-06T11:07:25.254648,52,0x80,,,0
2026-04-06T11:07:25.254648,53,0x90,,,0
2026-04-06T11:07:25.254648,54,0xd5,,,0
2026-04-06T11:07:25.254648,55,0x7d,,,0
2026-04-06T11:07:25.254648,56,0x5f,LFA,LFA,0
2026-04-06T11:07:25.254648,57,0xdc,,,0
2026-04-06T11:07:25.254648,58,0x9b,,,0
2026-04-06T11:07:25.254648,59,0x94,,,0
2026-04-06T11:07:25.254648,60,0x7c,,,0
2026-04-06T11:07:25.254648,61,0x35,Thunder,DtS,0
2026-04-06T11:07:25.254648,62,0xed,EconomaReinbo,ECR,0
2026-04-06T11:07:25.254648,63,0x69,,,0
2026-04-06T11:07:25.254648,64,0x56,AllForOne,mzE,0
2026-04-06T11:07:25.254648,65,0x59,,,0
2026-04-06T11:07:25.254648,66,0x76,,,0
2026-04-06T11:07:25.254648,67,0xf2,bFm,SDF,0
2026-04-06T11:07:25.254648,68,0x79,,,0
2026-04-06T11:07:25.254648,69,0xc3,,,0
2026-04-06T11:07:25.254648,70,0x4c,,,0
2026-04-06T11:07:25.254648,71,0x4a,,,0
2026-04-06T11:07:25.254648,72,0xca,,,0
2026-04-06T11:07:25.254648,73,0xc6,Njm,nJcm,0
2026-04-06T11:07:25.254648,74,0xb7,,,0
2026-04-06T11:07:25.254648,75,0xae,,,0
2026-04-06T11:07:25.254648,76,0x61,,,0
2026-04-06T11:07:25.254648,77,0x40,,,0
2026-04-06T11:07:25.254648,78,0x6e,,,0
2026-04-06T11:07:25.254648,79,0x86,,,0
2026-04-06T11:07:25.254648,80,0xf4,imi,Q,0
2026-04-06T15:32:29.740213,1,5101,,,3532064514
2026-04-06T15:32:29.740213,2,0902,,,3524071172
2026-04-06T15:32:29.740213,3,0c01,,,3522436612
2026-04-06T15:32:29.740213,4,8f01,,,3522436612
2026-04-06T15:32:29.740213,5,2e01,,,3521326256
2026-04-06T15:32:29.740213,6,cf02,,,3521214700
2026-04-06T15:32:29.740213,7,0801,,,3490857264
2026-04-06T15:32:29.740213,8,e002,,,3468952049
2026-04-06T15:32:29.740213,9,0b01,,,3448704770
2026-04-06T15:32:29.740213,10,b201,,,3440968767
2026-04-06T15:32:29.740213,11,9402,,,3398380566
2026-04-06T15:32:29.740213,12,1202,,,3389202190
2026-04-06T15:32:29.740213,13,0101,,,3373147967
2026-04-06T15:32:29.740213,14,0201,,,3350595960
2026-04-06T15:32:29.740213,15,ec02,,,3342868251
2026-04-06T15:32:29.740213,16,da03,,,3255763331
2026-04-06T15:32:29.740213,17,a304,,,2733704767
2026-04-06T15:32:29.740213,18,0803,,,1929912070
2026-04-06T15:32:29.740213,19,d101,,,1204946956
2026-04-06T15:32:29.740213,20,0601,,,1204935797
2026-04-06T15:32:29.740213,21,1003,,,1201587715
2026-04-06T15:32:29.740213,22,5101,,,1137798401
2026-04-06T15:32:29.740213,23,2201,,,948960001
2026-04-06T15:32:29.740213,24,7801,,,898571277
2026-04-06T15:32:29.740213,25,7603,,,476188804
2026-04-06T15:32:29.740213,26,8c04,,,115089154
2026-04-06T15:51:07.189125,1,1001,,,3599193346
2026-04-06T15:51:07.189125,2,da03,,,3597074819
2026-04-06T15:51:07.189125,3,2902,,,3596295939
2026-04-06T15:51:07.189125,4,e002,,,3596091889
2026-04-06T15:51:07.189125,5,2e01,,,3595381936
2026-04-06T15:51:07.189125,6,0902,,,3594194692
2026-04-06T15:51:07.189125,7,cf02,,,3593369836
2026-04-06T15:51:07.189125,8,ec02,,,3592953627
2026-04-06T15:51:07.189125,9,0c01,,,3589414404
2026-04-06T15:51:07.189125,10,8f01,,,3589414404
2026-04-06T15:51:07.189125,11,0801,,,3490857264
2026-04-06T15:51:07.189125,12,0b01,,,3448704770
2026-04-06T15:51:07.189125,13,b201,,,3440968767
2026-04-06T15:51:07.189125,14,9402,,,3398380566
2026-04-06T15:51:07.189125,15,1202,,,3389202190
2026-04-06T15:51:07.189125,16,0101,,,3373147967
2026-04-06T15:51:07.189125,17,0201,,,3350595960
2026-04-06T15:51:07.189125,18,a304,,,2733704767
2026-04-06T15:51:07.189125,19,0803,,,1929912070
2026-04-06T15:51:07.189125,20,0601,,,1205052021
2026-04-06T15:51:07.189125,21,d101,,,1204972300
2026-04-06T15:51:07.189125,22,1003,,,1201587715
2026-04-06T15:51:07.189125,23,1001,,,1138117633
2026-04-06T15:51:07.189125,24,2201,,,948960001
2026-04-06T15:51:07.189125,25,7801,,,898571277
2026-04-06T15:51:07.189125,26,7603,,,476188804
2026-04-06T15:51:07.189125,27,8c04,,,115089154
2026-04-06T16:02:29.015376,1,5101,TNaughtyPenguins,tnp,3649507586
2026-04-06T16:02:29.015376,2,0c01,ThePsychWard,PSY,3641908740
2026-04-06T16:02:29.015376,3,8f01,RuthlesS,RGUL,3641908740
2026-04-06T16:02:29.015376,4,0902,Ddysfunctionals,TTN,3641708292
2026-04-06T16:02:29.015376,5,2902,Madziankowo,bye3,3638566659
2026-04-06T16:02:29.015376,6,cf02,RAVEN,ttn,3638524140
2026-04-06T16:02:29.015376,7,2e01,IsleofMisfitTots,imt,3636407474
2026-04-06T16:02:29.015376,8,e002,,,3608150513
2026-04-06T16:02:29.015376,9,da03,HELLENICtower,Rpq,3597074819
2026-04-06T16:02:29.015376,10,ec02,,,3592953627
2026-04-06T16:02:29.015376,11,0801,,,3490857264
2026-04-06T16:02:29.015376,12,0b01,,,3448704770
2026-04-06T16:02:29.015376,13,b201,,,3440968767
2026-04-06T16:02:29.015376,14,9402,,,3398380566
2026-04-06T16:02:29.015376,15,1202,,,3389202190
2026-04-06T16:02:29.015376,16,0101,,,3373147967
2026-04-06T16:02:29.015376,17,0201,,,3350595960
2026-04-06T16:02:29.015376,18,a304,,,2733704767
2026-04-06T16:02:29.015376,19,0803,,,1929912070
2026-04-06T16:02:29.015376,20,0601,,,1205407093
2026-04-06T16:02:29.015376,21,d101,,,1204972300
2026-04-06T16:02:29.015376,22,1003,,,1201587715
2026-04-06T16:02:29.015376,23,5101,TNaughtyPenguins,tnp,1138289409
2026-04-06T16:02:29.015376,24,2201,,,948960001
2026-04-06T16:02:29.015376,25,7801,,,898571277
2026-04-06T16:02:29.015376,26,7603,,,476188804
2026-04-06T16:02:29.015376,27,8c04,,,115089154
2026-04-06T16:05:36.250901,1,0c01,ThePsychWard,PSY,3653574148
2026-04-06T16:05:36.250901,2,8f01,RuthlesS,RGUL,3653574148
2026-04-06T16:05:36.250901,3,0902,Ddysfunctionals,TTN,3652259588
2026-04-06T16:05:36.250901,4,2e01,IsleofMisfitTots,imt,3650694322
2026-04-06T16:05:36.250901,5,e002,,,3649765873
2026-04-06T16:05:36.250901,6,5101,TNaughtyPenguins,tnp,3649555970
2026-04-06T16:05:36.250901,7,cf02,RAVEN,ttn,3645274348
2026-04-06T16:05:36.250901,8,2902,Madziankowo,bye3,3638566659
2026-04-06T16:05:36.250901,9,da03,HELLENICtower,Rpq,3597074819
2026-04-06T16:05:36.250901,10,ec02,,,3592953627
2026-04-06T16:05:36.250901,11,0801,,,3490857264
2026-04-06T16:05:36.250901,12,0b01,,,3448704770
2026-04-06T16:05:36.250901,13,b201,,,3440968767
2026-04-06T16:05:36.250901,14,9402,,,3398380566
2026-04-06T16:05:36.250901,15,1202,,,3389202190
2026-04-06T16:05:36.250901,16,0101,,,3373147967
2026-04-06T16:05:36.250901,17,0201,,,3350595960
2026-04-06T16:05:36.250901,18,a304,,,2733704767
2026-04-06T16:05:36.250901,19,0803,,,1929912070
2026-04-06T16:05:36.250901,20,0601,,,1205446261
2026-04-06T16:05:36.250901,21,d101,,,1204972300
2026-04-06T16:05:36.250901,22,1003,,,1201587715
2026-04-06T16:05:36.250901,23,5101,TNaughtyPenguins,tnp,1138341633
2026-04-06T16:05:36.250901,24,2201,,,948960001
2026-04-06T16:05:36.250901,25,7801,,,898571277
2026-04-06T16:05:36.250901,26,7603,,,476188804
2026-04-06T16:05:36.250901,27,8c04,,,115089154
2026-04-06T16:07:09.391601,1,1001,,,3666286338
2026-04-06T16:07:09.391601,2,2e01,,,3660131506
2026-04-06T16:07:09.391601,3,e002,,,3660055025
2026-04-06T16:07:09.391601,4,0c01,,,3659931140
2026-04-06T16:07:09.391601,5,8f01,,,3659931140
2026-04-06T16:07:09.391601,6,0902,,,3658813188
2026-04-06T16:07:09.391601,7,cf02,,,3645274348
2026-04-06T16:07:09.391601,8,2902,,,3638566659
2026-04-06T16:07:09.391601,9,da03,,,3597074819
2026-04-06T16:07:09.391601,10,ec02,,,3592953627
2026-04-06T16:07:09.391601,11,0801,,,3490857264
2026-04-06T16:07:09.391601,12,0b01,,,3448704770
2026-04-06T16:07:09.391601,13,b201,,,3440968767
2026-04-06T16:07:09.391601,14,9402,,,3398380566
2026-04-06T16:07:09.391601,15,1202,,,3389202190
2026-04-06T16:07:09.391601,16,0101,,,3373147967
2026-04-06T16:07:09.391601,17,0201,,,3350595960
2026-04-06T16:07:09.391601,18,a304,,,2733704767
2026-04-06T16:07:09.391601,19,0803,,,1929912070
2026-04-06T16:07:09.391601,20,0601,,,1205463157
2026-04-06T16:07:09.391601,21,d101,,,1204972300
2026-04-06T16:07:09.391601,22,1003,,,1201587715
2026-04-06T16:07:09.391601,23,1001,,,1138369025
2026-04-06T16:07:09.391601,24,2201,,,948960001
2026-04-06T16:07:09.391601,25,7801,,,898571277
2026-04-06T16:07:09.391601,26,7603,,,476188804
2026-04-06T16:07:09.391601,27,8c04,,,115089154
